Binomial.1.2,Order.1.2,Family.1.2,log10BM,log10.bmr.mean,sd.bmr,log10.bmr.lower.95hpd,log10.bmr.upper.95hpd,log10.fmr.mean,sd.fmr,log10.fmr.lower.95hpd,log10.fmr.upper.95hpd,bmr.geo.mean,bmr.lower.95hpd,bmr.upper.95hpd,fmr.geo.mean,fmr.lower.95hpd,fmr.upper.95hpd
Abditomys_latidens,Rodentia,Muridae,2.429752280002408,1.9891264666666666,0.07273664229643641,1.8438,2.1323,2.4730034333333335,0.07333552211909575,2.3289,2.6174,97.52735962971788,69.7910930199934,135.61258674356446,297.1689524461966,213.25538179462006,414.3811582642788
Abeomelomys_sevia,Rodentia,Muridae,1.7160033436347992,1.4217711333333334,0.08203941273434467,1.2653,1.5849,1.9384585333333333,0.08269032170463941,1.7801,2.1022,26.410166144605657,18.420440010025057,38.45032367094807,86.78777079139897,60.269834652118504,126.5318914213856
Abrawayaomys_ruschii,Rodentia,Cricetidae,1.7993405494535817,1.5756727,0.08637135224254665,1.3962,1.7324,2.0885294333333335,0.08700988110639468,1.9099,2.2473,37.64200083524989,24.900037433881998,54.000775906659264,122.610999671402,81.26433765672033,176.72581778419402
Abrocoma_bennettii,Rodentia,Abrocomidae,2.3979400086720375,1.9193176666666667,0.11900706685687275,1.6895,2.1585,2.404655733333333,0.11949057538706137,2.164,2.629,83.04579876684406,48.92152651344178,144.0456010246377,253.89592662493362,145.8814260275349,425.59841313374307
Abrocoma_boliviensis,Rodentia,Abrocomidae,2.1986570869544226,1.7726500666666667,0.12048269535479168,1.5478,2.017,2.2671508333333334,0.12086653917745997,2.0352,2.5076,59.24477666649152,35.30205603766605,103.9920165829059,184.99109936906513,108.44261957670746,321.8103443093442
Abrocoma_budini,Rodentia,Abrocomidae,2.5571461423183632,2.0365127333333333,0.11979992230794874,1.7949,2.2708,2.5145338,0.12026605336540606,2.2628,2.7411,108.77090283391853,62.359123176262656,186.55203891005957,326.98949457841644,183.14708046613507,550.9345391672404
Abrocoma_cinerea,Rodentia,Abrocomidae,2.3979400086720375,1.9194744666666668,0.11956515391224531,1.675,2.1439,2.4048145333333335,0.12001374652611245,2.1657,2.6311,83.07578747902647,47.315125896148054,139.2836053665679,253.98878077574318,146.45358259502578,427.6613474797275
Abrocoma_famatina,Rodentia,Abrocomidae,2.3681008517093516,1.8971783,0.11989722624285452,1.6689,2.1313,2.3838889666666665,0.12030989421135434,2.1577,2.624,78.91840513583332,46.65519403909799,135.30068644919587,242.04101566139786,143.78050346057393,420.7266283844442
Abrocoma_shistacea,Rodentia,Abrocomidae,2.4413808849165113,1.9508085,0.1218757124595073,1.6995,2.1749,2.4341509333333335,0.12229069999076095,2.1913,2.6687,89.2911671937357,50.06105525288209,149.58911747641014,271.73834956350765,155.34597313765846,466.337134746993
Abrocoma_uspallata,Rodentia,Abrocomidae,2.390581878550435,1.9149882,0.11835423283052858,1.6767,2.1314,2.4006660666666666,0.11903250836590054,2.1582,2.618,82.22203095032837,47.50069893831196,135.3318441705925,251.57418050682128,143.94613220781596,414.95404263436285
