Binomial.1.2,Order.1.2,Family.1.2,log10BMR,log10BM,BMR.source
Antilocapra_americana,Cetartiodactyla,Antilocapridae,3.6524283817526033,4.577491799837225,WhiteSeymore.2003
Connochaetes_taurinus,Cetartiodactyla,Bovidae,4.298445393549229,5.293362554711446,WhiteSeymore.2003
Ovis_canadensis,Cetartiodactyla,Bovidae,3.964593563580482,4.839635144312755,WhiteSeymore.2003
Alces_alces,Cetartiodactyla,Cervidae,4.394229301842517,5.511883360978874,WhiteSeymore.2003
Capreolus_capreolus,Cetartiodactyla,Cervidae,3.602602163503463,4.332438459915605,WhiteSeymore.2003
Odocoileus_virginianus,Cetartiodactyla,Cervidae,4.091498295773762,4.7678086728873765,WhiteSeymore.2003
Pecari_tajacu,Cetartiodactyla,Tayassuidae,3.4572575345951115,4.311753861055754,WhiteSeymore.2003
Vulpes_lagopus,Carnivora,Canidae,2.821092408363933,3.5563025007672873,WhiteSeymore.2003
Canis_latrans,Carnivora,Canidae,3.1123733420735693,4,WhiteSeymore.2003
Canis_mesomelas,Carnivora,Canidae,3.2696929803121564,3.887617300335736,WhiteSeymore.2003
Cerdocyon_thous,Carnivora,Canidae,2.866090642643983,3.735918116531297,WhiteSeymore.2003
Vulpes_zerda,Carnivora,Canidae,2.448774230399415,3.084576277934331,WhiteSeymore.2003
Vulpes_macrotis,Carnivora,Canidae,2.6310292954721275,3.2477278329097232,WhiteSeymore.2003
Vulpes_vulpes,Carnivora,Canidae,3.070851335249265,3.6473829701146196,WhiteSeymore.2003
Acinonyx_jubatus,Carnivora,Felidae,3.636478726367097,4.578639209968072,WhiteSeymore.2003
Puma_concolor,Carnivora,Felidae,3.629656186210256,4.570542939881897,WhiteSeymore.2003
Leopardus_pardalis,Carnivora,Felidae,3.1780946493235693,4.021189299069938,WhiteSeymore.2003
Lynx_rufus,Carnivora,Felidae,3.3084181266020747,3.9731278535996988,WhiteSeymore.2003
Leptailurus_serval,Carnivora,Felidae,3.1796201943381464,4.004321373782642,WhiteSeymore.2003
Leopardus_wiedii,Carnivora,Felidae,2.6548452665281794,3.5563025007672873,WhiteSeymore.2003
Herpailurus_yagouaroundi,Carnivora,Felidae,2.9229054940875,3.9242792860618816,WhiteSeymore.2003
Panthera_leo,Carnivora,Felidae,3.9123778544616914,4.991226075692495,WhiteSeymore.2003
Panthera_onca,Carnivora,Felidae,3.7318969494888106,4.702430536445525,WhiteSeymore.2003
Panthera_tigris,Carnivora,Felidae,4.063226429908841,5.139564266175849,WhiteSeymore.2003
Herpestes_sanguineus,Carnivora,Herpestidae,2.2958895323601367,2.7323937598229686,WhiteSeymore.2003
Herpestes_javanicus,Carnivora,Herpestidae,2.288410721781511,2.786041210242554,WhiteSeymore.2003
Suricata_suricatta,Carnivora,Herpestidae,2.174467369474674,2.929418925714293,WhiteSeymore.2003
Hyaena_hyaena,Carnivora,Hyaenidae,3.4411086849402004,4.535294120042771,WhiteSeymore.2003
Proteles_cristata,Carnivora,Hyaenidae,3.0243422988790933,3.90848501887865,WhiteSeymore.2003
Eira_barbara,Carnivora,Mustelidae,2.7698213395852838,3.469822015978163,WhiteSeymore.2003
Gulo_gulo,Carnivora,Mustelidae,3.4385231384513375,4.103803720955957,WhiteSeymore.2003
Lutra_lutra,Carnivora,Mustelidae,3.3363181894157448,4,WhiteSeymore.2003
Martes_americana,Carnivora,Mustelidae,2.4576226413689506,2.9542425094393248,WhiteSeymore.2003
Martes_martes,Carnivora,Mustelidae,2.5386248313082014,2.963787827345555,WhiteSeymore.2003
Meles_meles,Carnivora,Mustelidae,3.1579044944410324,4.04336227802113,WhiteSeymore.2003
Mustela_erminea,Carnivora,Mustelidae,1.9005896198543073,1.8750612633917,WhiteSeymore.2003
Mustela_frenata,Carnivora,Mustelidae,2.0651227182152696,2.3521825181113627,WhiteSeymore.2003
Neovison_vison,Carnivora,Mustelidae,2.3715254976431117,2.8195439355418688,WhiteSeymore.2003
Spilogale_putorius,Carnivora,Mephitidae,2.160226930360064,2.795184589682424,WhiteSeymore.2003
Taxidea_taxus,Carnivora,Mustelidae,3.1144694397993886,3.9542425094393248,WhiteSeymore.2003
Ailurus_fulgens,Carnivora,Ailuridae,2.626600191546504,3.7589118923979736,WhiteSeymore.2003
Bassariscus_sumichrasti,Carnivora,Procyonidae,2.485194933522134,3.1072099696478683,WhiteSeymore.2003
Nasua_narica,Carnivora,Procyonidae,2.7648129457377504,3.5646660642520893,WhiteSeymore.2003
Nasua_nasua,Carnivora,Procyonidae,2.6796173477945797,3.6020599913279625,WhiteSeymore.2003
Potos_flavus,Carnivora,Procyonidae,2.58401874337807,3.369772288596963,WhiteSeymore.2003
Procyon_cancrivorus,Carnivora,Procyonidae,2.3496236561952815,3.0644579892269186,WhiteSeymore.2003
Procyon_lotor,Carnivora,Procyonidae,2.886954139386636,3.7054360465852505,WhiteSeymore.2003
Melursus_ursinus,Carnivora,Ursidae,2.6094481222660564,3.8258154449852038,WhiteSeymore.2003
Arctictis_binturong,Carnivora,Viverridae,3.0419918800462704,4.154728207440155,WhiteSeymore.2003
Arctogalidia_trivirgata,Carnivora,Viverridae,2.4258308069450996,3.303196057420489,WhiteSeymore.2003
Fossa_fossana,Carnivora,Eupleridae,2.640233873317214,3.3541084391474008,WhiteSeymore.2003
Genetta_tigrina,Carnivora,Viverridae,2.5564262774558,3.229937685907934,WhiteSeymore.2003
Nandinia_binotata,Carnivora,Nandiniidae,2.6191164713556105,3.630427875025024,WhiteSeymore.2003
Paradoxurus_hermaphroditus,Carnivora,Viverridae,2.821092408363933,3.499687082618404,WhiteSeymore.2003
Heterohyrax_brucei,Hyracoidea,Procaviidae,2.5404381720716698,3.3010299956639813,WhiteSeymore.2003
Dendrohyrax_dorsalis,Hyracoidea,Procaviidae,2.55874561264457,3.3443922736851106,WhiteSeymore.2003
Procavia_capensis,Hyracoidea,Procaviidae,2.50264961118227,3.380211241711606,WhiteSeymore.2003
Procavia_capensis,Hyracoidea,Procaviidae,2.637348185079726,3.3521825181113627,WhiteSeymore.2003
Procavia_capensis,Hyracoidea,Procaviidae,2.7546194807354905,3.439332693830263,WhiteSeymore.2003
Amblysomus_hottentotus,Afrosoricida,Chrysochloridae,1.610989085971108,1.845098040014257,WhiteSeymore.2003
Chrysochloris_asiatica,Afrosoricida,Chrysochloridae,1.394912904681592,1.6434526764861874,WhiteSeymore.2003
Eremitalpa_granti,Afrosoricida,Chrysochloridae,0.683105675640401,1.3010299956639813,WhiteSeymore.2003
Atelerix_albiventris,Eulipotyphla,Erinaceidae,1.854832129293632,2.6532125137753435,WhiteSeymore.2003
Echinosorex_gymnura,Eulipotyphla,Erinaceidae,2.3862250218764793,2.8580557180503643,WhiteSeymore.2003
Erinaceus_concolor,Eulipotyphla,Erinaceidae,2.2236853921448554,2.9152414973061944,WhiteSeymore.2003
