Binomial.1.2,Genus.1.2,Order.1.2,Family.1.2,Binomial.Source,BM,BMR,log10BM,log10BMR,Source,Accepted,Comment
Antilocapra_americana,Antilocapra,Cetartiodactyla,Antilocapridae,Antilocapra_americana,37800,5103.14096736768,4.577491799837225,3.7078375652956503,Genoud.2018,1,NA
Alcelaphus_buselaphus,Alcelaphus,Cetartiodactyla,Bovidae,Alcelaphus_buselaphus,98000,12736.699402582426,4.991226075692495,4.105056899195596,Genoud.2018,0,NA
Bos_mutus,Bos,Cetartiodactyla,Bovidae,Bos_grunniens,143000,12377.387372406987,5.155336037465061,4.0926289831744205,Genoud.2018,0,NA
Bos_primigenius,Bos,Cetartiodactyla,Bovidae,Bos_taurus,500000,22830.949412056474,5.698970004336019,4.3585239717549715,Genoud.2018,0,NA
Bos_primigenius,Bos,Cetartiodactyla,Bovidae,Bos_taurus,600000,44557.661262664704,5.778151250383644,4.6489223875656975,Genoud.2018,0,NA
Bos_primigenius,Bos,Cetartiodactyla,Bovidae,Bos_taurus,347000,23319.647710476904,5.540329474790874,4.367721985257149,Genoud.2018,0,NA
Bos_primigenius,Bos,Cetartiodactyla,Bovidae,Bos_taurus,225000,17276.24844025344,5.352182518111363,4.237449440771116,Genoud.2018,0,NA
Bos_primigenius,Bos,Cetartiodactyla,Bovidae,Bos_taurus,145000,9718.817722927102,5.161368002234975,3.987613436979967,Genoud.2018,0,NA
Bos_primigenius,Bos,Cetartiodactyla,Bovidae,Bos_taurus,275000,31909.623270125572,5.439332693830263,4.50392167687695,Genoud.2018,0,NA
Bos_primigenius,Bos,Cetartiodactyla,Bovidae,Bos_taurus,200000,10335.629637773722,5.301029995663981,4.0143369386199534,Genoud.2018,0,NA
Capra_aegagrus,Capra,Cetartiodactyla,Bovidae,Capra_hircus,36000,2945.764743256474,4.556302500767287,3.4691980599590053,Genoud.2018,0,NA
Capra_aegagrus,Capra,Cetartiodactyla,Bovidae,Capra_hircus,32550,3838.7421027833852,4.5125509929042105,3.584188936003746,Genoud.2018,0,NA
Capra_aegagrus,Capra,Cetartiodactyla,Bovidae,Capra_hircus,16275,1546.6961771188223,4.211520997240229,3.189405012109527,Genoud.2018,0,NA
Capra_aegagrus,Capra,Cetartiodactyla,Bovidae,Capra_hircus,32500,2867.708765036544,4.511883360978874,3.4575350437322054,Genoud.2018,0,NA
Connochaetes_taurinus,Connochaetes,Cetartiodactyla,Bovidae,Connochaetes_taurinus,196500,17495.568770360525,5.293362554711446,4.242928065699398,Genoud.2018,0,NA
Connochaetes_taurinus,Connochaetes,Cetartiodactyla,Bovidae,Connochaetes_taurinus,140000,11640.521969319936,5.146128035678238,4.065972454825284,Genoud.2018,0,NA
Gazella_subgutturosa,Gazella,Cetartiodactyla,Bovidae,Gazella_subgutturosa,17100,2215.4747078999044,4.232996110392154,3.345466796442916,Genoud.2018,1,NA
