Binomial.1.2,Order.1.2,Family.1.2,Binomial.Source,BM,MR,log10BM,log10MR,MR.type,Source,Comment
Antilocapra_americana,Cetartiodactyla,Antilocapridae,Antilocapra_americana,37800,5103.14096736768,4.577491799837225,3.7078375652956503,BMR,Genoud.2018,NA
Alcelaphus_buselaphus,Cetartiodactyla,Bovidae,Alcelaphus_buselaphus,98000,12736.699402582426,4.991226075692495,4.105056899195596,BMR,Genoud.2018,NA
Bos_mutus,Cetartiodactyla,Bovidae,Bos_grunniens,143000,12377.387372406987,5.155336037465061,4.0926289831744205,BMR,Genoud.2018,NA
Bos_primigenius,Cetartiodactyla,Bovidae,Bos_taurus,500000,22830.94941205647,5.698970004336019,4.3585239717549715,BMR,Genoud.2018,NA
Bos_primigenius,Cetartiodactyla,Bovidae,Bos_taurus,600000,44557.661262664704,5.778151250383644,4.6489223875656975,BMR,Genoud.2018,NA
Bos_primigenius,Cetartiodactyla,Bovidae,Bos_taurus,347000,23319.647710476904,5.540329474790874,4.367721985257149,BMR,Genoud.2018,NA
Bos_primigenius,Cetartiodactyla,Bovidae,Bos_taurus,225000,17276.24844025344,5.352182518111363,4.237449440771116,BMR,Genoud.2018,NA
Bos_primigenius,Cetartiodactyla,Bovidae,Bos_taurus,145000,9718.817722927102,5.161368002234975,3.987613436979967,BMR,Genoud.2018,NA
Bos_primigenius,Cetartiodactyla,Bovidae,Bos_taurus,275000,31909.623270125572,5.439332693830263,4.50392167687695,BMR,Genoud.2018,NA
Bos_primigenius,Cetartiodactyla,Bovidae,Bos_taurus,200000,10335.629637773722,5.301029995663981,4.0143369386199534,BMR,Genoud.2018,NA
Capra_aegagrus,Cetartiodactyla,Bovidae,Capra_hircus,36000,2945.764743256474,4.556302500767287,3.4691980599590053,BMR,Genoud.2018,NA
Capra_aegagrus,Cetartiodactyla,Bovidae,Capra_hircus,32550,3838.7421027833857,4.5125509929042105,3.584188936003746,BMR,Genoud.2018,NA
Capra_aegagrus,Cetartiodactyla,Bovidae,Capra_hircus,16275,1546.6961771188223,4.211520997240229,3.189405012109527,BMR,Genoud.2018,NA
Capra_aegagrus,Cetartiodactyla,Bovidae,Capra_hircus,32500,2867.708765036544,4.511883360978874,3.4575350437322054,BMR,Genoud.2018,NA
Connochaetes_taurinus,Cetartiodactyla,Bovidae,Connochaetes_taurinus,196500,17495.568770360525,5.293362554711446,4.242928065699398,BMR,Genoud.2018,NA
Connochaetes_taurinus,Cetartiodactyla,Bovidae,Connochaetes_taurinus,140000,11640.521969319936,5.146128035678238,4.065972454825284,BMR,Genoud.2018,NA
Gazella_subgutturosa,Cetartiodactyla,Bovidae,Gazella_subgutturosa,17100,2215.4747078999044,4.232996110392154,3.345466796442916,BMR,Genoud.2018,NA
Kobus_ellipsiprymnus,Cetartiodactyla,Bovidae,Kobus_ellipsiprymnus,100000,11312.602017341644,5,4.053562508709946,BMR,Genoud.2018,NA
Madoqua_kirkii,Cetartiodactyla,Bovidae,Madoqua_kirkii,3970,875.7541382457754,3.598790506763115,2.942382198188484,BMR,Genoud.2018,NA
Madoqua_kirkii,Cetartiodactyla,Bovidae,Madoqua_kirkii,4850,1133.0843360077824,3.685741738602263,3.0542622358119424,BMR,Genoud.2018,NA
Madoqua_saltiana,Cetartiodactyla,Bovidae,Madoqua_saltiana,2000,361.2210079036416,3.3010299956639813,2.5577730000891896,BMR,Genoud.2018,NA
Nanger_soemmerringii,Cetartiodactyla,Bovidae,Nanger_soemmerringii,35100,3908.313735544627,4.545307116465824,3.591989418953301,BMR,Genoud.2018,NA
Oreamnos_americanus,Cetartiodactyla,Bovidae,Oreamnos_americanus,32000,3529.4877108142077,4.505149978319906,3.5477116740812935,BMR,Genoud.2018,NA
Oryx_gazella,Cetartiodactyla,Bovidae,Oryx_gazella,180000,18478.90440902247,5.2552725051033065,4.2666762188743075,BMR,Genoud.2018,NA
Oryx_leucoryx,Cetartiodactyla,Bovidae,Oryx_leucoryx,84100,7890.441276579839,4.924795995797912,3.897101292008486,BMR,Genoud.2018,NA
