Binomial.1.2,Order.1.2,Family.1.2,log10BM,log10MR,MR,source
Microtus_pennsylvanicus,Rodentia,Cricetidae,1.5634810853944108,2.0530784434834195,FMR,Hudson.2013
Microtus_pennsylvanicus,Rodentia,Cricetidae,1.5943925503754268,2.0629578340845103,FMR,Hudson.2013
Microtus_pennsylvanicus,Rodentia,Cricetidae,1.5378190950732742,2.0461047872460387,FMR,Hudson.2013
Microtus_pennsylvanicus,Rodentia,Cricetidae,1.5490032620257879,1.9921114877869497,FMR,Hudson.2013
Microtus_pennsylvanicus,Rodentia,Cricetidae,1.4828735836087537,1.8948696567452525,FMR,Hudson.2013
Microtus_pennsylvanicus,Rodentia,Cricetidae,1.551449997972875,1.9242792860618816,FMR,Hudson.2013
Microtus_pennsylvanicus,Rodentia,Cricetidae,1.5158738437116792,2.000434077479319,FMR,Hudson.2013
Microtus_pennsylvanicus,Rodentia,Cricetidae,1.54282542695918,1.806179973983887,FMR,Hudson.2013
Tarsipes_rostratus,Diprotodontia,Tarsipedidae,0.8388490907372553,0.9344984512435677,FMR,Hudson.2013
Tarsipes_rostratus,Diprotodontia,Tarsipedidae,1.0043213737826426,1.4313637641589874,FMR,Hudson.2013
Tarsipes_rostratus,Diprotodontia,Tarsipedidae,0.8325089127062363,1.2576785748691846,FMR,Hudson.2013
Tarsipes_rostratus,Diprotodontia,Tarsipedidae,0.8573324964312685,1.130333768495006,FMR,Hudson.2013
Tarsipes_rostratus,Diprotodontia,Tarsipedidae,0.9493900066449128,1.3783979009481377,FMR,Hudson.2013
Tarsipes_rostratus,Diprotodontia,Tarsipedidae,1.1583624920952498,1.6998377258672457,FMR,Hudson.2013
Tarsipes_rostratus,Diprotodontia,Tarsipedidae,0.9444826721501687,1.503790683057181,FMR,Hudson.2013
Tarsipes_rostratus,Diprotodontia,Tarsipedidae,1.0453229787866574,1.3242824552976926,FMR,Hudson.2013
Tarsipes_rostratus,Diprotodontia,Tarsipedidae,0.9138138523837167,0.9912260756924949,FMR,Hudson.2013
Tarsipes_rostratus,Diprotodontia,Tarsipedidae,1.0413926851582251,1.3617278360175928,FMR,Hudson.2013
Tarsipes_rostratus,Diprotodontia,Tarsipedidae,0.9138138523837167,1.2068258760318498,FMR,Hudson.2013
Tarsipes_rostratus,Diprotodontia,Tarsipedidae,0.9030899869919435,1.0170333392987803,FMR,Hudson.2013
Tarsipes_rostratus,Diprotodontia,Tarsipedidae,0.9395192526186185,1.3560258571931227,FMR,Hudson.2013
Tarsipes_rostratus,Diprotodontia,Tarsipedidae,0.9030899869919435,1.4533183400470377,FMR,Hudson.2013
Tarsipes_rostratus,Diprotodontia,Tarsipedidae,0.8450980400142568,1.6848453616444126,FMR,Hudson.2013
Tarsipes_rostratus,Diprotodontia,Tarsipedidae,0.8692317197309762,1.2227164711475833,FMR,Hudson.2013
Tarsipes_rostratus,Diprotodontia,Tarsipedidae,0.8512583487190754,1.513217600067939,FMR,Hudson.2013
Tarsipes_rostratus,Diprotodontia,Tarsipedidae,0.9912260756924948,1.7407573233077707,FMR,Hudson.2013
Tarsipes_rostratus,Diprotodontia,Tarsipedidae,1,1.212187604403958,FMR,Hudson.2013
Tarsipes_rostratus,Diprotodontia,Tarsipedidae,0.7923916894982539,1.7435097647284297,FMR,Hudson.2013
Sciurus_carolinensis,Rodentia,Sciuridae,2.814913181275074,3.060697840353612,FMR,Hudson.2013
Sciurus_carolinensis,Rodentia,Sciuridae,2.824776462475546,2.718501688867274,FMR,Hudson.2013
Sciurus_carolinensis,Rodentia,Sciuridae,2.7993405494535817,2.680335513414563,FMR,Hudson.2013
Sciurus_carolinensis,Rodentia,Sciuridae,2.802089257881733,2.6314437690131722,FMR,Hudson.2013
Sciurus_carolinensis,Rodentia,Sciuridae,2.7671558660821804,2.7450747915820575,FMR,Hudson.2013
Sciurus_carolinensis,Rodentia,Sciuridae,2.7299742856995555,2.496929648073215,FMR,Hudson.2013
Sciurus_carolinensis,Rodentia,Sciuridae,2.802089257881733,2.932980821923198,FMR,Hudson.2013
Sciurus_carolinensis,Rodentia,Sciuridae,2.651278013998144,2.7641761323903307,FMR,Hudson.2013
Sciurus_carolinensis,Rodentia,Sciuridae,2.8419848045901137,2.8048206787211623,FMR,Hudson.2013
Sciurus_carolinensis,Rodentia,Sciuridae,2.808210972924222,2.8524799936368566,FMR,Hudson.2013
Sciurus_carolinensis,Rodentia,Sciuridae,2.802089257881733,2.782472624166286,FMR,Hudson.2013
Myrmecobius_fasciatus,Dasyuromorphia,Myrmecobiidae,2.737987326333431,2.490660653356137,FMR,Hudson.2013
Myrmecobius_fasciatus,Dasyuromorphia,Myrmecobiidae,2.61066016308988,2.2984163800612945,FMR,Hudson.2013
Myrmecobius_fasciatus,Dasyuromorphia,Myrmecobiidae,2.717670503002262,2.325720858019412,FMR,Hudson.2013
Myrmecobius_fasciatus,Dasyuromorphia,Myrmecobiidae,2.6314437690131722,2.4186326873540653,FMR,Hudson.2013
Myrmecobius_fasciatus,Dasyuromorphia,Myrmecobiidae,2.716003343634799,2.5593080109070123,FMR,Hudson.2013
Aplodontia_rufa,Rodentia,Aplodontiidae,2.8959747323590648,3.17666993266815,FMR,Hudson.2013
Aplodontia_rufa,Rodentia,Aplodontiidae,2.9590413923210934,3.351409751925439,FMR,Hudson.2013
Aplodontia_rufa,Rodentia,Aplodontiidae,2.7937903846908188,3.083860800866573,FMR,Hudson.2013
Aplodontia_rufa,Rodentia,Aplodontiidae,2.739572344450092,2.976808337338066,FMR,Hudson.2013
Lontra_canadensis,Carnivora,Mustelidae,3.8372727025023003,3.7350397050337207,FMR,Hudson.2013
Lontra_canadensis,Carnivora,Mustelidae,3.844166410450201,3.599773939146388,FMR,Hudson.2013
Lontra_canadensis,Carnivora,Mustelidae,3.951823035315912,3.8555797225017177,FMR,Hudson.2013
Lontra_canadensis,Carnivora,Mustelidae,3.9003671286564705,3.4622482153549976,FMR,Hudson.2013
Lontra_canadensis,Carnivora,Mustelidae,3.926856708949692,3.6240757311456826,FMR,Hudson.2013
Lepilemur_ruficaudatus,Primates,Lepilemuridae,2.833784374656479,2.6480671294489344,FMR,Hudson.2013
Lepilemur_ruficaudatus,Primates,Lepilemuridae,2.943247125137862,2.668944734457734,FMR,Hudson.2013
Lepilemur_ruficaudatus,Primates,Lepilemuridae,2.973243342094437,2.775064051018494,FMR,Hudson.2013
Lepilemur_ruficaudatus,Primates,Lepilemuridae,2.819214799882384,2.3402457615679317,FMR,Hudson.2013
Lepilemur_ruficaudatus,Primates,Lepilemuridae,2.919862253555538,2.9307962629833004,FMR,Hudson.2013
Lepilemur_ruficaudatus,Primates,Lepilemuridae,2.8810992183890174,2.627263416568221,FMR,Hudson.2013
Lepilemur_ruficaudatus,Primates,Lepilemuridae,2.8654001181793016,2.4328090050331683,FMR,Hudson.2013
