Binomial.1.2,Order.1.2,Family.1.2,Binomial.Source,BM,MR,log10BM,log10MR,MR.type,Source,Comment
Microtus_pennsylvanicus,Rodentia,Cricetidae,Microtus_pennsylvanicus,36.6,113,1.5634810853944108,2.0530784434834195,FMR,Hudson.2013,NA
Microtus_pennsylvanicus,Rodentia,Cricetidae,Microtus_pennsylvanicus,39.300000000000004,115.6,1.5943925503754268,2.0629578340845103,FMR,Hudson.2013,NA
Microtus_pennsylvanicus,Rodentia,Cricetidae,Microtus_pennsylvanicus,34.5,111.2,1.5378190950732742,2.0461047872460387,FMR,Hudson.2013,NA
Microtus_pennsylvanicus,Rodentia,Cricetidae,Microtus_pennsylvanicus,35.4,98.2,1.5490032620257879,1.9921114877869497,FMR,Hudson.2013,NA
Microtus_pennsylvanicus,Rodentia,Cricetidae,Microtus_pennsylvanicus,30.4,78.5,1.4828735836087537,1.8948696567452525,FMR,Hudson.2013,NA
Microtus_pennsylvanicus,Rodentia,Cricetidae,Microtus_pennsylvanicus,35.6,84,1.551449997972875,1.9242792860618816,FMR,Hudson.2013,NA
Microtus_pennsylvanicus,Rodentia,Cricetidae,Microtus_pennsylvanicus,32.800000000000004,100.1,1.5158738437116792,2.000434077479319,FMR,Hudson.2013,NA
Microtus_pennsylvanicus,Rodentia,Cricetidae,Microtus_pennsylvanicus,34.9,64,1.54282542695918,1.806179973983887,FMR,Hudson.2013,NA
Tarsipes_rostratus,Diprotodontia,Tarsipedidae,Tarsipes_rostratus,6.8999999999999995,8.6,0.8388490907372553,0.9344984512435677,FMR,Hudson.2013,NA
Tarsipes_rostratus,Diprotodontia,Tarsipedidae,Tarsipes_rostratus,10.1,27,1.0043213737826426,1.4313637641589874,FMR,Hudson.2013,NA
Tarsipes_rostratus,Diprotodontia,Tarsipedidae,Tarsipes_rostratus,6.8,18.1,0.8325089127062363,1.2576785748691846,FMR,Hudson.2013,NA
Tarsipes_rostratus,Diprotodontia,Tarsipedidae,Tarsipes_rostratus,7.2,13.5,0.8573324964312685,1.130333768495006,FMR,Hudson.2013,NA
Tarsipes_rostratus,Diprotodontia,Tarsipedidae,Tarsipes_rostratus,8.9,23.9,0.9493900066449128,1.3783979009481377,FMR,Hudson.2013,NA
Tarsipes_rostratus,Diprotodontia,Tarsipedidae,Tarsipes_rostratus,14.4,50.1,1.1583624920952498,1.6998377258672457,FMR,Hudson.2013,NA
Tarsipes_rostratus,Diprotodontia,Tarsipedidae,Tarsipes_rostratus,8.8,31.9,0.9444826721501687,1.503790683057181,FMR,Hudson.2013,NA
Tarsipes_rostratus,Diprotodontia,Tarsipedidae,Tarsipes_rostratus,11.1,21.1,1.0453229787866574,1.3242824552976926,FMR,Hudson.2013,NA
Tarsipes_rostratus,Diprotodontia,Tarsipedidae,Tarsipes_rostratus,8.200000000000001,9.8,0.9138138523837167,0.9912260756924949,FMR,Hudson.2013,NA
Tarsipes_rostratus,Diprotodontia,Tarsipedidae,Tarsipes_rostratus,11,23,1.0413926851582251,1.3617278360175928,FMR,Hudson.2013,NA
Tarsipes_rostratus,Diprotodontia,Tarsipedidae,Tarsipes_rostratus,8.200000000000001,16.1,0.9138138523837167,1.2068258760318498,FMR,Hudson.2013,NA
Tarsipes_rostratus,Diprotodontia,Tarsipedidae,Tarsipes_rostratus,8,10.4,0.9030899869919435,1.0170333392987803,FMR,Hudson.2013,NA
Tarsipes_rostratus,Diprotodontia,Tarsipedidae,Tarsipes_rostratus,8.7,22.7,0.9395192526186185,1.3560258571931227,FMR,Hudson.2013,NA
Tarsipes_rostratus,Diprotodontia,Tarsipedidae,Tarsipes_rostratus,8,28.4,0.9030899869919435,1.4533183400470377,FMR,Hudson.2013,NA
Tarsipes_rostratus,Diprotodontia,Tarsipedidae,Tarsipes_rostratus,7,48.4,0.8450980400142568,1.6848453616444126,FMR,Hudson.2013,NA
Tarsipes_rostratus,Diprotodontia,Tarsipedidae,Tarsipes_rostratus,7.4,16.7,0.8692317197309762,1.2227164711475833,FMR,Hudson.2013,NA
Tarsipes_rostratus,Diprotodontia,Tarsipedidae,Tarsipes_rostratus,7.1000000000000005,32.6,0.8512583487190754,1.513217600067939,FMR,Hudson.2013,NA
Tarsipes_rostratus,Diprotodontia,Tarsipedidae,Tarsipes_rostratus,9.799999999999999,55.05,0.9912260756924948,1.7407573233077707,FMR,Hudson.2013,NA
Tarsipes_rostratus,Diprotodontia,Tarsipedidae,Tarsipes_rostratus,10,16.3,1,1.212187604403958,FMR,Hudson.2013,NA
Tarsipes_rostratus,Diprotodontia,Tarsipedidae,Tarsipes_rostratus,6.2,55.4,0.7923916894982539,1.7435097647284297,FMR,Hudson.2013,NA
Sciurus_carolinensis,Rodentia,Sciuridae,Sciurus_carolinensis,653,1150,2.814913181275074,3.060697840353612,FMR,Hudson.2013,NA
