Order,Species,Binomial.1.2,Taxonomy
Afrosoricida,Echinops_telfari,Echinops_telfairi,"Spelling and other changes, now follows SF_1.2"
Artiodactyla,Lama_pacos,Vicugna_vicugna,"Spelling and other changes, now follows SF_1.2"
Carnivora,Herpailurus_yaguarondi,Herpailurus_yagouaroundi,"Spelling and other changes, now follows SF_1.2"
Carnivora,Mustela_vison,Neovison_vison,"Spelling and other changes, now follows SF_1.2"
Carnivora,Proteles_cristatus,Proteles_cristata,"Spelling and other changes, now follows SF_1.2"
Carnivora,Vulpes_rueppelli,Vulpes_rueppellii,"Spelling and other changes, now follows SF_1.2"
Chiroptera,Glossophaga_sorcina,Glossophaga_soricina,"Spelling and other changes, now follows SF_1.2"
Chiroptera,Miniopterus_schreibersi,Miniopterus_schreibersii,"Spelling and other changes, now follows SF_1.2"
Chiroptera,Mormoops_blainvilli,Mormoops_blainvillei,"Spelling and other changes, now follows SF_1.2"
Chiroptera,Anoura_caudifera,Anoura_caudifer,"Spelling and other changes, now follows SF_1.2"
Lypothyphla,Cryptotys_parva,Cryptotis_parva,"Spelling and other changes, now follows SF_1.2"
Lypothyphla,Notisorex_crawfordi,Notiosorex_crawfordi,"Spelling and other changes, now follows SF_1.2"
Lypothyphla,Hemiechinus_aethiopicus,Paraechinus_aethiopicus,"Spelling and other changes, now follows SF_1.2"
Primates,Aloutta_palliata,Alouatta_palliata,"Spelling and other changes, now follows SF_1.2"
Primates,Otolemur_garnetti,Otolemur_garnettii,"Spelling and other changes, now follows SF_1.2"
Primates,Tarsius_spectrum,Tarsius_tarsier,"Spelling and other changes, now follows SF_1.2"
Rodentia,Akodon_lanosus,Abrothrix_lanosus,"Spelling and other changes, now follows SF_1.2"
Rodentia,Akodon_longipillis,Abrothrix_longipilis,"Spelling and other changes, now follows SF_1.2"
Rodentia,Agouti_paca,Cuniculus_paca,"Spelling and other changes, now follows SF_1.2"
Rodentia,Apodemus_hermonensis,Apodemus_witherbyi,"Spelling and other changes, now follows SF_1.2"
Rodentia,Arvicola_terrestris,Arvicola_amphibius,"Spelling and other changes, now follows SF_1.2"
Rodentia,Auliscomys_micropus,Loxodontomys_micropus,"Spelling and other changes, now follows SF_1.2"
Rodentia,Baimomys_taylori,Baiomys_taylori,"Spelling and other changes, now follows SF_1.2"
Rodentia,Cavia_porcellus,Cavia_tschudii,"Spelling and other changes, now follows SF_1.2"
Rodentia,Perognathus_formosus,Chaetodipus_formosus,"Spelling and other changes, now follows SF_1.2"
Rodentia,Chroeomys_andinus,Abrothrix_andinus,"Spelling and other changes, now follows SF_1.2"
Rodentia,Akodon_olivaceus,Abrothrix_olivaceus,"Spelling and other changes, now follows SF_1.2"
Rodentia,Clethrionomys_californicus,Myodes_californicus,"Spelling and other changes, now follows SF_1.2"
Rodentia,Clethrionomys_gapperi,Myodes_gapperi,"Spelling and other changes, now follows SF_1.2"
Rodentia,Clethrionomys_glareolus,Myodes_glareolus,"Spelling and other changes, now follows SF_1.2"
Rodentia,Clethrionomys_rufocanus,Myodes_rufocanus,"Spelling and other changes, now follows SF_1.2"
Rodentia,Clethrionomys_rutilus,Myodes_rutilus,"Spelling and other changes, now follows SF_1.2"
Rodentia,Cynomys_ludovicanus,Cynomys_ludovicianus,"Spelling and other changes, now follows SF_1.2"
Rodentia,Epixerus_wilsoni,Epixerus_ebii,"Spelling and other changes, now follows SF_1.2"
Rodentia,Funisciurus_lemnisciatus,Funisciurus_lemniscatus,"Spelling and other changes, now follows SF_1.2"
Rodentia,Funisciurus_pyrrhopus,Funisciurus_pyrropus,"Spelling and other changes, now follows SF_1.2"
Rodentia,Geomys_bursaris,Geomys_bursarius,"Spelling and other changes, now follows SF_1.2"
Rodentia,Gerbillus_allenbyi,Gerbillus_andersoni,"Spelling and other changes, now follows SF_1.2"
Rodentia,Heliophobius_argentocinereus,Heliophobius_argenteocinereus,"Spelling and other changes, now follows SF_1.2"
Rodentia,Hydrochaeris_hydrochaeris,Hydrochoerus_hydrochaeris,"Spelling and other changes, now follows SF_1.2"
Rodentia,Lemmus_sibericus,Lemmus_sibiricus,"Spelling and other changes, now follows SF_1.2"
Rodentia,Liomys_salvani,Heteromys_salvini,"Spelling and other changes, now follows SF_1.2"
Rodentia,Praomys_natalensis,Mastomys_natalensis,"Spelling and other changes, now follows SF_1.2"
Rodentia,Meriones_hurriane,Meriones_hurrianae,"Spelling and other changes, now follows SF_1.2"
Rodentia,Microtus_agrestris,Microtus_agrestis,"Spelling and other changes, now follows SF_1.2"
Rodentia,Myoxus_glis,Glis_glis,"Spelling and other changes, now follows SF_1.2"
Rodentia,Nannospalax_ehrenbergi,Spalax_ehrenbergi,"Spelling and other changes, now follows SF_1.2"
Rodentia,Nannospalax_leucodon,Spalax_leucodon,"Spelling and other changes, now follows SF_1.2"
Rodentia,Peromyscus_oreas,Peromyscus_keeni,"Spelling and other changes, now follows SF_1.2"
Rodentia,Peromyscus_sitkensis,Peromyscus_keeni,"Spelling and other changes, now follows SF_1.2"
Rodentia,Pseudomys_gracilicaudus,Pseudomys_gracilicaudatus,"Spelling and other changes, now follows SF_1.2"
Rodentia,Spermophilus_parryi,Urocitellus_parryii,"Spelling and other changes, now follows SF_1.2"
Rodentia,Spermophilus_richardsoni,Urocitellus_richardsonii,"Spelling and other changes, now follows SF_1.2"
Rodentia,Tachyorcyctes_splendens,Tachyoryctes_splendens,"Spelling and other changes, now follows SF_1.2"
Rodentia,Tatera_afra,Gerbilliscus_afra,"Spelling and other changes, now follows SF_1.2"
Rodentia,Tatera_leucogaster,Gerbilliscus_leucogaster,"Spelling and other changes, now follows SF_1.2"
Rodentia,Zapus_hudsonicus,Zapus_hudsonius,"Spelling and other changes, now follows SF_1.2"
Scandentia,Ptilocerus_lowii,Ptilocercus_lowii,"Spelling and other changes, now follows SF_1.2"
Xenarthra,Chaetophractus_vellorosus,Chaetophractus_vellerosus,"Spelling and other changes, now follows SF_1.2"
Xenarthra,Zaedyus_pichi,Zaedyus_pichiy,"Spelling and other changes, now follows SF_1.2"
Dasyuromorpha,Sminthopsis_laniger,Antechinomys_laniger,"Spelling and other changes, now follows SF_1.2"
Dasyuromorpha,Dasycercus_cristicaudata,Dasycercus_cristicauda,"Spelling and other changes, now follows SF_1.2"
Dasyuromorpha,Dasycercus_byrnei,Dasyuroides_byrnei,"Spelling and other changes, now follows SF_1.2"
Dasyuromorpha,Dasyurus_geoffroyi,Dasyurus_geoffroii,"Spelling and other changes, now follows SF_1.2"
Dasyuromorpha,Paranthechinus_apicalis,Parantechinus_apicalis,"Spelling and other changes, now follows SF_1.2"
Dasyuromorpha,Sarcophilus_laniarius,Sarcophilus_harrisii,"Spelling and other changes, now follows SF_1.2"
Diprodontia,Aepyprimnus_rufescens,Aepyprymnus_rufescens,"Spelling and other changes, now follows SF_1.2"
Diprodontia,Cercartetus_conncinnus,Cercartetus_concinnus,"Spelling and other changes, now follows SF_1.2"
Diprodontia,Pseudocheirus_herbertensis,Pseudochirulus_herbertensis,"Spelling and other changes, now follows SF_1.2"
Peramelemorphia,Echymipera_kalabu,Echymipera_kalubu,"Spelling and other changes, now follows SF_1.2"
Peramelemorphia,Perameles_gunni,Perameles_gunnii,"Spelling and other changes, now follows SF_1.2"
Carnivora,Galerella_sanguinea,Herpestes_sanguineus,Binomial.Elton
Pholidota,Manis_tetradactyla,Phataginus_tetradactyla,Binomial.Elton
Pholidota,Manis_tricuspis,Phataginus_tricuspis,Binomial.Elton
Primates,Callithrix_pygmaea,Cebuella_pygmaea,Binomial.Elton
Dasyuromorpha,Ningaui_yvonnae,Ningaui_yvonneae,Binomial.Elton
Diprodontia,Trichosurus_arnhemensis,Trichosurus_vulpecula,Binomial.Elton
Monotremata,Zaglossus_bruijni,Zaglossus_bruijnii,Binomial.Elton
Carnivora,Alopex_lagopus,Vulpes_lagopus,Binomial.1.0
Rodentia,Cryptomys_bocagei,Fukomys_bocagei,Binomial.1.0
Rodentia,Cryptomys_damarensis,Fukomys_damarensis,Binomial.1.0
Rodentia,Cryptomys_mechowi,Fukomys_mechowi,Binomial.1.0
Rodentia,Liomys_irroratus,Heteromys_irroratus,Binomial.1.0
Rodentia,Spermophilus_armatus,Urocitellus_armatus,Binomial.1.0
Rodentia,Spermophilus_beecheyi,Otospermophilus_beecheyi,Binomial.1.0
Rodentia,Spermophilus_beldingi,Urocitellus_beldingi,Binomial.1.0
Rodentia,Spermophilus_lateralis,Callospermophilus_lateralis,Binomial.1.0
Rodentia,Spermophilus_mohavensis,Xerospermophilus_mohavensis,Binomial.1.0
Rodentia,Spermophilus_saturatus,Callospermophilus_saturatus,Binomial.1.0
Rodentia,Spermophilus_spilosoma,Xerospermophilus_spilosoma,Binomial.1.0
Rodentia,Spermophilus_tereticaudus,Xerospermophilus_tereticaudus,Binomial.1.0
Rodentia,Spermophilus_townsendii,Urocitellus_townsendii,Binomial.1.0
Rodentia,Spermophilus_tridecemlineatus,Ictidomys_tridecemlineatus,Binomial.1.0
Rodentia,Spermophilus_undulatus,Urocitellus_undulatus,Binomial.1.0
Rodentia,Tamias_alpinus,Neotamias_alpinus,Binomial.1.0
Rodentia,Tamias_amoenus,Neotamias_amoenus,Binomial.1.0
Rodentia,Tamias_merriami,Neotamias_merriami,Binomial.1.0
Rodentia,Tamias_minimus,Neotamias_minimus,Binomial.1.0
Rodentia,Tamias_palmeri,Neotamias_palmeri,Binomial.1.0
Xenarthra,Chaetophractus_nationi,Chaetophractus_vellerosus,Binomial.1.0
