Binomial,Binomial.1.2
Alces_americanus,Alces_alces
Artibeus_cinereus,Dermanura_cinerea
Bos_grunniens,Bos_mutus
Bos_taurus,Bos_primigenius
Callithrix_pygmaea,Cebuella_pygmaea
Capra_hircus,Capra_aegagrus
Cavia_porcellus,Cavia_tschudii
Chaetophractus_nationi,Chaetophractus_vellerosus
Cryptomys_amatus,Cryptomys_hottentotus
Cryptomys_anselli,Fukomys_anselli
Cryptomys_bocagei,Fukomys_bocagei
Cryptomys_damarensis,Fukomys_damarensis
Cryptomys_darlingi,Fukomys_darlingi
Cryptomys_mechowi,Fukomys_mechowi
Dipodillus_campestris,Gerbillus_campestris
Dipodillus_dasyurus,Gerbillus_dasyurus
Equus_asinus,Equus_africanus
Equus_caballus,Equus_ferus
Erethizon_dorsata,Erethizon_dorsatum
Felis_catus,Felis_silvestris
Galago_demidoff,Galagoides_demidoff
Galerella_sanguinea,Herpestes_sanguineus
Hydrochoeris_hydrochaeris,Hydrochoerus_hydrochaeris
Lama_glama,Lama_guanicoe
Liomys_irroratus,Heteromys_irroratus
Liomys_salvini,Heteromys_salvini
Manis_tetradactyla,Phataginus_tetradactyla
Manis_tricuspis,Phataginus_tricuspis
Micaelamys_namaquensis,Aethomys_namaquensis
Micoureus_paraguayanus,Marmosa_paraguayanus
Myotomys_sloggetti,Otomys_sloggetti
Myotomys_unisulcatus,Otomys_unisulcatus
Ningaui_yvonnae,Ningaui_yvonneae
Oryzomys_talamancae,Transandinomys_talamancae
Ovis_aries,Ovis_orientalis
Puma_yagouaroundi,Herpailurus_yagouaroundi
Reithrodontomys_humilis,Reithrodontomys_humulis
Spalax_carmeli,Spalax_ehrenbergi
Spalax_galili,Spalax_ehrenbergi
Spalax_golani,Spalax_ehrenbergi
Spalax_judaei,Spalax_ehrenbergi
Spermophilus_armatus,Urocitellus_armatus
Spermophilus_beecheyi,Otospermophilus_beecheyi
Spermophilus_beldingi,Urocitellus_beldingi
Spermophilus_franklinii,Poliocitellus_franklinii
Spermophilus_lateralis,Callospermophilus_lateralis
Spermophilus_mexicanus,Ictidomys_mexicanus
Spermophilus_mohavensis,Xerospermophilus_mohavensis
Spermophilus_parryii,Urocitellus_parryii
Spermophilus_richardsonii,Urocitellus_richardsonii
Spermophilus_saturatus,Callospermophilus_saturatus
Spermophilus_spilosoma,Xerospermophilus_spilosoma
Spermophilus_tereticaudus,Xerospermophilus_tereticaudus
Spermophilus_townsendii,Urocitellus_townsendii
Spermophilus_tridecemlineatus,Ictidomys_tridecemlineatus
Spermophilus_undulatus,Urocitellus_undulatus
Sphiggurus_villosus,Coendou_spinosus
Tamias_alpinus,Neotamias_alpinus
Tamias_amoenus,Neotamias_amoenus
Tamias_merriami,Neotamias_merriami
Tamias_minimus,Neotamias_minimus
Tamias_palmeri,Neotamias_palmeri
Tamias_speciosus,Neotamias_speciosus
Taurotragus_oryx,Tragelaphus_oryx
Vampyressa_nymphaea,Vampyriscus_nymphaea
Zaglossus_bruijni,Zaglossus_bruijnii
Nyctophilus_timoriensis,NA
