binomial,mass.g,bmr.ml.O2.h
Antilocapra americana,37800,9318
Connochaetes taurinus,196500,41242
Ovis canadensis,69125,19120
Alces alces,325000,51419
Capreolus capreolus,21500,8308
Odocoileus virginianus,58588,25609
Pecari tajacu,20500,5945
Alopex lagopus,3600,1374
Canis latrans,10000,2687
Canis mesomelas,7720,3860
Cerdocyon thous,5444,1524
Fennecus zerda,1215,583
Vulpes macrotis,1769,887
Vulpes vulpes,4440,2442
Vulpes vulpes alascensis,4725,2481
Acinonyx jubatus,37900,8982
Felis concolor,37200,8842
Felis pardalis,10500,3126
Felis rufus,9400,4220
Felis serval,10100,3137
Felis wiedii,3600,937
Felis yagouaroundi,8400,1737
Panthera leo,98000,16954
Panthera onca,50400,11189
Panthera tigris,137900,23995
Galerella sanguinea,540,410
Herpestes javanicus,611,403
Suricata suricatta,850,310
Hyaena hyaena,34300,5728
Proteles cristatus,8100,2194
Eira barbara,2950,1221
Gulo gulo,12700,5694
Lutra lutra,10000,4500
Martes americana,900,595
Martes martes,920,717
Meles meles,11050,2984
Mustela erminea,75,165
Mustela frenata,225,241
Mustela vison,660,488
Spilogale putorius,624,300
Taxidea taxus,9000,2700
Ailurus fulgens,5740,878
Bassariscus sumichrasti,1280,634
Nasua narica,3670,1207
Nasua nasua,4000,992
Potos flavus,2343,796
Procyon cancrivorus,1160,464
Procyon lotor,5075,1599
Ursus ursinus,6696,844
Arctictis binturong,14280,2285
Arctogalidia trivirgata,2010,553
Fossa fossana,2260,906
Genetta tigrina,1698,747
Nandinia binotata,4270,863
Paradoxurus hermaphroditus,3160,1374
Peropteryx macrotis,5,760
Saccopteryx bilineata,7.8,11.6
Hipposideros galeritus,8.5,14.5
Rhinonycteris aurantius,8.27,9.4
Macroderma gigas,148,16.2
Eumops perotis,56,139.1
Molossus molossus,15.6,39.8
Tadarida brasiliensis,16.9,22.5
Mormoops blainvilli,8.6,20.3
Mormoops megalophylla,16.5,8
Pteronotus davyi,9.4,24.4
Pteronotus parnellii,19.2,15.3
Pteronotus personatus,14,30.7
Pteronotus quadridens,4.9,23
Natalus tumidirostris,5.4,6.1
Noctilio albiventris,27,8.3
Noctilio leporinus,61,31.6
Anoura caudifera,11.5,70.8
Artibeus fimbriatus,63.9,42.7
Artibeus jamaicensis,45.2,78
Artibeus lituratus,70.1,76.8
Carollia perspicillata,14.9,108
Chiroderma doriae,19.9,43.1
Chrotopterus auritus,96.1,31.1
Desmodus rotundus,29.4,141.3
Diaemus youngi,36.6,34.7
Diphylla ecaudata,27.8,37.3
Erophylla bombifrons,16.1,38.6
Glossophaga soricina,9.6,17.7
Koopmania concolor,19.7,29.4
Leptonycteris curasoae,22,39.8
Macrotus californicus,11.7,44
Monophyllus redmani,8.7,14.6
Phyllostomus discolor,33.5,11.1
Phyllostomus elongatus,35.6,47.9
Phyllostomus hastatus,84.2,38.8
Platyrrhinus lineatus,21.9,100.2
Rhinophylla fischerae,9.5,44.9
Rhinophylla pumilio,9.5,16.2
Sturnia tildae,20.5,18.6
Sturnira lilium,21.9,39.9
Tonatia bidens,27.4,53.2
Uroderma bilobatum,16.2,55.1
Vampyressa pusilla,8.8,31.6
Cynopterus brachyotis,37.4,18.6
Dobsonia anderseni,241.4,47.5
Dobsonia minor,73.7,174
Dobsonia moluccensis,404.3,74.4
Dobsonia praedatrix,179.5,367.9
Eonycteris spelaea,51.6,142.5
Macroglossus minimus,15.9,48
Megaloglossus woermanni,12.4,18.5
Melonycteris melanops,53.3,21.7
Nyctimene albiventer,30.9,43.3
Nyctimene cyclotis,40.4,27.3
Nyctimene major,13.6,64.6
Paranyctimene raptor,23.6,20.4
Pteropus giganteus,562.2,24.5
Pteropus hypomelanus,520.8,290.7
Pteropus poliocephalus,598,290.1
Pteropus pumilus,194.2,316.9
Pteropus rodricensis,254.5,126.4
Pteropus scapulatus,362,134.9
Pteropus vampyrus,1024.3,242.5
Rousettus aegyptiacus,146,804.1
Rousettus amplexicaudatus,91.5,122.6
Syconycteris australis,15.9,104.3
Antrozous pallidus,22,21.9
Chalinolobus gouldii,17.5,18.7
Eptesicus fuscus,10.4,25.2
Histiotus velatus,11.2,20.8
Miniopterus gigas australis?,107.2,15.7
Miniopterus schreibersi,10.91,94.3
Myotis lucifuga,5.2,26
Myotis nigricans,3.7,8.9
Nyctophilus geoffroyi,8,4.8
Plecotus auritus,10.25,11.2
Heterohyrax brucei,2000,720
Dendrohyrax dorsalis,2210,751
Procavia capensis,2400,660
Procavia habessinica,2250,900
Procavia johnstoni,2750,1179
Amblysomus hottentotus,70,84.7
Chrysochloris asiatica,44,51.5
Eremitalpa granti namibensis,20,10
Atelerix albiventris,450,148.5
Echinosorex gymnura,721.2,504.8
Erinaceus concolor,822.7,347.2
Erinaceus europaeus,750,337.5
Hemiechinus auritus,400,152
Hylomys suillus,57.8,60.1
Paraechinus aethiopicus,450,112.5
Blarina brevicaudata,20.5,65.6
Blarina carolinensis,10.2,33.7
Crocidura crossei,10.2,22.4
Crocidura flavescens,33.2,44.5
Crocidura hildegardeae,10,26
Crocidura leucodon,11.7,29.8
Crocidura luna,11.8,24.8
Crocidura olivieri,38.9,58.4
Crocidura poensis,17.3,31.1
Crocidura russula,10.4,22.9
Crocidura suaveolens,6.5,18.9
Crocidura viaria,14.7,22.1
Cryptotis parva,6.2,19.2
Neomys anomalus,13.1,66.8
Neomys fodiens,17.1,54.7
Notiosorex crawfordi,4,13.2
Sorex alpinus,7.9,48.2
Sorex araneus,8.05,60.2
Sorex cinereus,3.5,31.5
Sorex coronatus,9.1,51.9
Sorex minutus,4,30.8
Sorex ornatus,9.7,52.3
Sorex vagrans,5.2,28.1
Suncus etruscus,2.4,14.4
Suncus murinus,30.2,59.5
Condylura cristata,49,110.3
Neurotrichus gibbsii,11.8,46.5
Scalopus aquaticus,48,67.7
Scapanus latimanus,61,76.2
Scapanus orarius,61.2,64.1
Scapanus townsendii,130.1,108.9
Echinops telfari,116.4,133.9
Geogale aurita,6.9,7.7
Hemicentetes nigriceps,101.9,72.5
Hemicentetes semispinosus,133,64.1
Limnogale mergulus,77.7,55.9
Microgale cowani,12.2,32
Microgale dobsoni,44.6,56.4
Microgale talazaci,44,43.6
Setifer setosus,530,121.9
Tenrec ecaudatus,650,130.7
Lepus alleni,3000,1650
Lepus americanus,1581,1518
Lepus arcticus,3004.4,1082
Lepus californicus,2300,1311
Lepus timidus,3025,2118
Lepus townsendii,2430,1264
Oryctolagus cuniculus,2000,1140
Sylvilagus audubonii,672.4,438
Ochotona princeps,109,167
Ochotona dauurica,127.7,249
Elephantulus brachyrhynchus,45.3,43.7
Elephantulus edwardii,50,54.5
Elephantulus intufi,46.49,52
Elephantulus myurus,62.97,66.3
Elephantulus rozeti,45.31,47.8
Elephantulus rufescens,53,56.9
Macroscelides proboscideus,39,52.3
Petrodromus tetradactylus,206.11,179.5
Manis crassicaudata,15910,1241
Manis javanica,4220,1106
Manis tetradactyla,1430,229
Manis pentadactyla,3637.5,668
Manis tricuspis,1365,276
Callithrix jacchus,190,152
Cebuella pygmaea,116.8,117
Saguinus geoffroyi,225,234
Alouatta palliata,4670,2055
Aotus trivirgatus,820,442
Saimiri sciureus,875,801
Cercopithecus mitis,8500,3392
Colobus guereza,10450,2978
Erythrocebus patas,3000,1068
Papio anubis,9500,2778
Papio ursinus,16900,5147
Cheirogaleus medius,300,195
Propithecus verreauxi,3350,670
Eulemur fulvus,2330,746
Arctocebus calabarensis,206,131
Euoticus elegantulus,261.5,216
Galago moholi,170,51
Galago senegalensis,171.5,137
Galagoides demidoff,63.8,59
Loris tardigradus,284,128
Nycticebus coucang,1160,273
