Species,Binomial.1.2,Taxonomy
Fennecus_zerda,Vulpes_zerda,"Spelling and other changes, now follows SF_1.2"
Vulpes_vulpes_alascensis,Vulpes_vulpes,"Spelling and other changes, now follows SF_1.2"
Felis_concolor,Puma_concolor,"Spelling and other changes, now follows SF_1.2"
Felis_pardalis,Leopardus_pardalis,"Spelling and other changes, now follows SF_1.2"
Felis_rufus,Lynx_rufus,"Spelling and other changes, now follows SF_1.2"
Felis_serval,Leptailurus_serval,"Spelling and other changes, now follows SF_1.2"
Felis_wiedii,Leopardus_wiedii,"Spelling and other changes, now follows SF_1.2"
Felis_yagouaroundi,Herpailurus_yagouaroundi,"Spelling and other changes, now follows SF_1.2"
Proteles_cristatus,Proteles_cristata,"Spelling and other changes, now follows SF_1.2"
Mustela_vison,Neovison_vison,"Spelling and other changes, now follows SF_1.2"
Ursus_ursinus,Melursus_ursinus,"Spelling and other changes, now follows SF_1.2"
Rhinonycteris_aurantius,Rhinonicteris_aurantia,"Spelling and other changes, now follows SF_1.2"
Mormoops_blainvilli,Mormoops_blainvillei,"Spelling and other changes, now follows SF_1.2"
Anoura_caudifera,Anoura_caudifer,"Spelling and other changes, now follows SF_1.2"
Koopmania_concolor,Artibeus_concolor,"Spelling and other changes, now follows SF_1.2"
Sturnia_tildae,Sturnira_tildae,"Spelling and other changes, now follows SF_1.2"
Miniopterus_gigas_australis?,Miniopterus_australis,"Spelling and other changes, now follows SF_1.2"
Miniopterus_schreibersi,Miniopterus_schreibersii,"Spelling and other changes, now follows SF_1.2"
Myotis_lucifuga,Myotis_lucifugus,"Spelling and other changes, now follows SF_1.2"
Procavia_habessinica,Procavia_capensis,"Spelling and other changes, now follows SF_1.2"
Procavia_johnstoni,Procavia_capensis,"Spelling and other changes, now follows SF_1.2"
Eremitalpa_granti_namibensis,Eremitalpa_granti,"Spelling and other changes, now follows SF_1.2"
Blarina_brevicaudata,Blarina_brevicauda,"Spelling and other changes, now follows SF_1.2"
Echinops_telfari,Echinops_telfairi,"Spelling and other changes, now follows SF_1.2"
Tarsius_spectrum,Tarsius_tarsier,"Spelling and other changes, now follows SF_1.2"
Agouti_paca,Cuniculus_paca,"Spelling and other changes, now follows SF_1.2"
Cryptomys_hottentotus_amatus,Cryptomys_hottentotus,"Spelling and other changes, now follows SF_1.2"
Cryptomys_hottentotus_natalensis,Cryptomys_hottentotus,"Spelling and other changes, now follows SF_1.2"
Heliophobius_argentocinereus,Heliophobius_argenteocinereus,"Spelling and other changes, now follows SF_1.2"
Cavia_porcellus,Cavia_tschudii,"Spelling and other changes, now follows SF_1.2"
Kerodon_ruprestris,Kerodon_rupestris,"Spelling and other changes, now follows SF_1.2"
Chinchilla_laniger,Chinchilla_lanigera,"Spelling and other changes, now follows SF_1.2"
Dipus_sagitta?,Dipus_sagitta,"Spelling and other changes, now follows SF_1.2"
Zapus_hudsonicus,Zapus_hudsonius,"Spelling and other changes, now follows SF_1.2"
Geomys_bursaris,Geomys_bursarius,"Spelling and other changes, now follows SF_1.2"
Liomys_salvani,Heteromys_salvini,"Spelling and other changes, now follows SF_1.2"
Hydrochaeris_hydrochaeris,Hydrochoerus_hydrochaeris,"Spelling and other changes, now follows SF_1.2"
Apodemus_hermonensis,Apodemus_witherbyi,"Spelling and other changes, now follows SF_1.2"
Arvicola_terrestris,Arvicola_amphibius,"Spelling and other changes, now follows SF_1.2"
Auliscomys_micropus,Loxodontomys_micropus,"Spelling and other changes, now follows SF_1.2"
Calomys_ducilla?,Calomys_lepidus,"Spelling and other changes, now follows SF_1.2"
Chroeomys_anadinus,Abrothrix_andinus,"Spelling and other changes, now follows SF_1.2"
Chroeomys_olivaceus,Abrothrix_olivaceus,"Spelling and other changes, now follows SF_1.2"
Cleithrionomys_glareolus,Myodes_glareolus,"Spelling and other changes, now follows SF_1.2"
