Binomial.1.2,mass.g,fmr.kJ.day,FMR.source,FMR.link,FMR.comment
Equus_ferus,111583,36957,Brinkmann.2014,http://jeb.biologists.org/content/217/24/4320,Scraped from figure excluding n=5 with forced diet
Equus_ferus,125050,52160,Brinkmann.2014,http://jeb.biologists.org/content/217/24/4320,Scraped from figure excluding n=5 with forced diet
Equus_ferus,130661,63353,Brinkmann.2014,http://jeb.biologists.org/content/217/24/4320,Scraped from figure excluding n=5 with forced diet
Equus_ferus,151423,74881,Brinkmann.2014,http://jeb.biologists.org/content/217/24/4320,Scraped from figure excluding n=5 with forced diet
Equus_ferus,165611,85990,Brinkmann.2014,http://jeb.biologists.org/content/217/24/4320,Scraped from figure excluding n=5 with forced diet
Equus_ferus,184208,83317,Brinkmann.2014,http://jeb.biologists.org/content/217/24/4320,Scraped from figure excluding n=5 with forced diet
Equus_ferus,176192,69368,Brinkmann.2014,http://jeb.biologists.org/content/217/24/4320,Scraped from figure excluding n=5 with forced diet
Equus_ferus,168337,63353,Brinkmann.2014,http://jeb.biologists.org/content/217/24/4320,Scraped from figure excluding n=5 with forced diet
Equus_ferus,190701,63353,Brinkmann.2014,http://jeb.biologists.org/content/217/24/4320,Scraped from figure excluding n=5 with forced diet
Equus_ferus,196473,58508,Brinkmann.2014,http://jeb.biologists.org/content/217/24/4320,Scraped from figure excluding n=5 with forced diet
Equus_ferus,145731,18413,Brinkmann.2014,http://jeb.biologists.org/content/217/24/4320,Scraped from figure excluding n=5 with forced diet
Equus_ferus,173707,28687,Brinkmann.2014,http://jeb.biologists.org/content/217/24/4320,Scraped from figure excluding n=5 with forced diet
Equus_ferus,195271,35871,Brinkmann.2014,http://jeb.biologists.org/content/217/24/4320,Scraped from figure excluding n=5 with forced diet
Equus_ferus,196313,25095,Brinkmann.2014,http://jeb.biologists.org/content/217/24/4320,Scraped from figure excluding n=5 with forced diet
Equus_ferus,113667,16158,Brinkmann.2014,http://jeb.biologists.org/content/217/24/4320,Scraped from figure excluding n=5 with forced diet
Ailuropoda_melanoleuca,71000,4515,Nie.2015,http://science.sciencemag.org/content/349/6244/171,Wild animals
Ailuropoda_melanoleuca,80000,5538,Nie.2015,http://science.sciencemag.org/content/349/6244/171,Wild animals
Ailuropoda_melanoleuca,127000,8685,Nie.2015,http://science.sciencemag.org/content/349/6244/171,Wild animals
Halichoerus_grypus,132000,15690,Sparling.2007,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2435.2007.01368.x/full,Mean BM between start and finish
Halichoerus_grypus,133100,19304,Sparling.2007,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2435.2007.01368.x/full,Mean BM between start and finish
Halichoerus_grypus,132000,21920,Sparling.2007,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2435.2007.01368.x/full,Mean BM between start and finish
Halichoerus_grypus,126800,14323,Sparling.2007,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2435.2007.01368.x/full,Mean BM between start and finish
Halichoerus_grypus,98500,16385,Sparling.2007,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2435.2007.01368.x/full,Mean BM between start and finish
Halichoerus_grypus,98800,13285,Sparling.2007,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2435.2007.01368.x/full,Mean BM between start and finish
Halichoerus_grypus,40700,11335,Sparling.2007,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2435.2007.01368.x/full,Mean BM between start and finish
Halichoerus_grypus,38500,9244,Sparling.2007,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2435.2007.01368.x/full,Mean BM between start and finish
Halichoerus_grypus,37100,10023,Sparling.2007,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2435.2007.01368.x/full,Mean BM between start and finish
Halichoerus_grypus,37000,8738,Sparling.2007,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2435.2007.01368.x/full,Mean BM between start and finish
Halichoerus_grypus,36100,12923,Sparling.2007,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2435.2007.01368.x/full,Mean BM between start and finish
Halichoerus_grypus,34800,11051,Sparling.2007,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2435.2007.01368.x/full,Mean BM between start and finish
Halichoerus_grypus,36300,13125,Sparling.2007,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2435.2007.01368.x/full,Mean BM between start and finish
Halichoerus_grypus,36600,10127,Sparling.2007,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2435.2007.01368.x/full,Mean BM between start and finish
Halichoerus_grypus,25300,12755,Sparling.2007,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2435.2007.01368.x/full,Mean BM between start and finish
Halichoerus_grypus,28500,10052,Sparling.2007,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2435.2007.01368.x/full,Mean BM between start and finish
Halichoerus_grypus,32200,10266,Sparling.2007,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2435.2007.01368.x/full,Mean BM between start and finish
Halichoerus_grypus,39450,12877,Sparling.2007,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2435.2007.01368.x/full,Mean BM between start and finish
Halichoerus_grypus,28550,10578,Sparling.2007,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2435.2007.01368.x/full,Mean BM between start and finish
Halichoerus_grypus,33300,12312,Sparling.2007,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2435.2007.01368.x/full,Mean BM between start and finish
Halichoerus_grypus,41200,11353,Sparling.2007,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2435.2007.01368.x/full,Mean BM between start and finish
Halichoerus_grypus,45100,10796,Sparling.2007,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2435.2007.01368.x/full,Mean BM between start and finish
Halichoerus_grypus,107300,26147,Sparling.2007,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2435.2007.01368.x/full,Mean BM between start and finish
Halichoerus_grypus,121800,26177,Sparling.2007,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2435.2007.01368.x/full,Mean BM between start and finish
Halichoerus_grypus,125800,20528,Sparling.2007,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2435.2007.01368.x/full,Mean BM between start and finish
Halichoerus_grypus,33400,10597,Sparling.2007,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2435.2007.01368.x/full,Mean BM between start and finish
Halichoerus_grypus,38000,14950,Sparling.2007,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2435.2007.01368.x/full,Mean BM between start and finish
Halichoerus_grypus,41700,14017,Sparling.2007,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2435.2007.01368.x/full,Mean BM between start and finish
Halichoerus_grypus,42200,13648,Sparling.2007,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2435.2007.01368.x/full,Mean BM between start and finish
Halichoerus_grypus,28800,11424,Sparling.2007,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2435.2007.01368.x/full,Mean BM between start and finish
Halichoerus_grypus,40300,13504,Sparling.2007,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2435.2007.01368.x/full,Mean BM between start and finish
Halichoerus_grypus,47050,14021,Sparling.2007,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2435.2007.01368.x/full,Mean BM between start and finish
Choloepus_hoffmanni,5930,772,Pauli.2016,http://www.journals.uchicago.edu/doi/10.1086/687032,
Choloepus_hoffmanni,4500,589,Pauli.2016,http://www.journals.uchicago.edu/doi/10.1086/687032,
Choloepus_hoffmanni,5900,768,Pauli.2016,http://www.journals.uchicago.edu/doi/10.1086/687032,
Choloepus_hoffmanni,6300,746,Pauli.2016,http://www.journals.uchicago.edu/doi/10.1086/687032,
Choloepus_hoffmanni,6400,1125,Pauli.2016,http://www.journals.uchicago.edu/doi/10.1086/687032,
Choloepus_hoffmanni,6600,848,Pauli.2016,http://www.journals.uchicago.edu/doi/10.1086/687032,
