Binomial.Source,Binomial.1.2,Source
Alces_americanus,Alces_alces,Genoud.2018
Artibeus_cinereus,Dermanura_cinerea,Genoud.2018
Bos_grunniens,Bos_mutus,Genoud.2018
Bos_taurus,Bos_primigenius,Genoud.2018
Callithrix_pygmaea,Cebuella_pygmaea,Genoud.2018
Capra_hircus,Capra_aegagrus,Genoud.2018
Cavia_porcellus,Cavia_tschudii,Genoud.2018
Chaetophractus_nationi,Chaetophractus_vellerosus,Genoud.2018
Cryptomys_amatus,Cryptomys_hottentotus,Genoud.2018
Cryptomys_anselli,Fukomys_anselli,Genoud.2018
Cryptomys_bocagei,Fukomys_bocagei,Genoud.2018
Cryptomys_damarensis,Fukomys_damarensis,Genoud.2018
Cryptomys_darlingi,Fukomys_darlingi,Genoud.2018
Cryptomys_mechowi,Fukomys_mechowi,Genoud.2018
Dipodillus_campestris,Gerbillus_campestris,Genoud.2018
Dipodillus_dasyurus,Gerbillus_dasyurus,Genoud.2018
Equus_asinus,Equus_africanus,Genoud.2018
Equus_caballus,Equus_ferus,Genoud.2018
Erethizon_dorsata,Erethizon_dorsatum,Genoud.2018
Felis_catus,Felis_silvestris,Genoud.2018
Galago_demidoff,Galagoides_demidoff,Genoud.2018
Galerella_sanguinea,Herpestes_sanguineus,Genoud.2018
Hydrochoeris_hydrochaeris,Hydrochoerus_hydrochaeris,Genoud.2018
Lama_glama,Lama_guanicoe,Genoud.2018
Liomys_irroratus,Heteromys_irroratus,Genoud.2018
Liomys_salvini,Heteromys_salvini,Genoud.2018
Manis_tetradactyla,Phataginus_tetradactyla,Genoud.2018
Manis_tricuspis,Phataginus_tricuspis,Genoud.2018
Micaelamys_namaquensis,Aethomys_namaquensis,Genoud.2018
Micoureus_paraguayanus,Marmosa_paraguayanus,Genoud.2018
Myotomys_sloggetti,Otomys_sloggetti,Genoud.2018
Myotomys_unisulcatus,Otomys_unisulcatus,Genoud.2018
Ningaui_yvonnae,Ningaui_yvonneae,Genoud.2018
Oryzomys_talamancae,Transandinomys_talamancae,Genoud.2018
Ovis_aries,Ovis_orientalis,Genoud.2018
Puma_yagouaroundi,Herpailurus_yagouaroundi,Genoud.2018
Reithrodontomys_humilis,Reithrodontomys_humulis,Genoud.2018
Spalax_carmeli,Spalax_ehrenbergi,Genoud.2018
Spalax_galili,Spalax_ehrenbergi,Genoud.2018
Spalax_golani,Spalax_ehrenbergi,Genoud.2018
Spalax_judaei,Spalax_ehrenbergi,Genoud.2018
Spermophilus_armatus,Urocitellus_armatus,Genoud.2018
Spermophilus_beecheyi,Otospermophilus_beecheyi,Genoud.2018
Spermophilus_beldingi,Urocitellus_beldingi,Genoud.2018
Spermophilus_franklinii,Poliocitellus_franklinii,Genoud.2018
Spermophilus_lateralis,Callospermophilus_lateralis,Genoud.2018
